Q5111,ab
Q14196,af
Q28026,ak
Q28244,am
Q8765,an
Q13955,ar
Q29401,as
Q29561,av
Q4627,ay
Q9292,az
Q13389,ba
Q9091,be
Q7918,bg
Q35452,bi
Q33243,bm
Q9610,bn
Q34271,bo
Q12107,br
Q9303,bs
Q7026,ca
Q33350,ce
Q33262,ch
Q33111,co
Q33390,cr
Q9056,cs
Q33251,cu
Q35499,cu
Q33348,cv
Q9309,cy
Q9035,da
Q188,de
Q32656,dv
Q33081,dz
Q30005,ee
Q36510,el
Q1860,en
Q143,eo
Q1321,es
Q9072,et
Q8752,eu
Q9168,fa
Q33454,ff
Q1412,fi
Q33295,fj
Q25258,fo
Q150,fr
Q27175,fy
Q9142,ga
Q9314,gd
Q9307,gl
Q35876,gn
Q5137,gu
Q12175,gv
Q56475,ha
Q9288,he
Q1568,hi
Q6654,hr
Q33491,ht
Q9067,hu
Q8785,hy
Q35934,ia
Q9240,id
Q35850,ie
Q33578,ig
Q34235,ii
Q27183,ik
Q35224,io
Q294,is
Q652,it
Q29921,iu
Q5287,ja
Q33549,jv
Q8108,ka
Q33702,kg
Q33587,ki
Q9252,kk
Q25355,kl
Q9205,km
Q33673,kn
Q9176,ko
Q33552,ks
Q36368,ku
Q36126,kv
Q25289,kw
Q9255,ky
Q397,la
Q9051,lb
Q33368,lg
Q102172,li
Q36217,ln
Q9211,lo
Q9083,lt
Q9078,lv
Q7930,mg
Q36451,mi
Q9296,mk
Q36236,ml
Q36392,mo
Q1571,mr
Q9237,ms
Q9166,mt
Q9228,my
Q13307,na
Q25167,nb
Q33823,ne
Q7411,nl
Q25164,nn
Q13310,nv
Q14185,oc
Q33864,om
Q33810,or
Q33968,os
Q58635,pa
Q36727,pi
Q809,pl
Q58680,ps
Q5146,pt
Q5218,qu
Q13199,rm
Q33583,rn
Q7913,ro
Q7737,ru
Q33573,rw
Q11059,sa
Q33976,sc
Q33997,sd
Q33947,se
Q33954,sg
Q13267,si
Q9058,sk
Q9063,sl
Q34011,sm
Q34004,sn
Q13275,so
Q8748,sq
Q9299,sr
Q34014,ss
Q34340,st
Q34002,su
Q9027,sv
Q7838,sw
Q5885,ta
Q8097,te
Q9260,tg
Q9217,th
Q34124,ti
Q9267,tk
Q34057,tl
Q34137,tn
Q34094,to
Q256,tr
Q34327,ts
Q25285,tt
Q36850,tw
Q34128,ty
Q13263,ug
Q8798,uk
Q1617,ur
Q9264,uz
Q32704,ve
Q9199,vi
Q36986,vo
Q34257,wo
Q13218,xh
Q8641,yi
Q34311,yo
Q13216,za
Q7850,zh
Q10179,zu
Q33900,ng
Q33273,ny
Q135305,bh
Q36280,mh
Q36094,kr
Q9043,no
Q27811,aa
Q33617,ho
Q33315,hz
Q1405077,kj
Q29572,ae
Q33875,oj
Q36157,lu
Q35613,nd
Q36785,nr
