Q7963657,ARG
Q2876097,CHN
Q4210329,KAL
Q3564949,MLT
Q16902401,SRB
Q1629309,MLI
Q7620147,SLB
Q7852144,THA
Q7926998,VCT
Q10853513,AGO
Q749142,ANG
Q3885980,BTN
Q3914083,CMR
Q1708068,DEC
Q1654914,LBR
Q7885600,MRT
Q652112,MTN
Q649827,SLE
Q7624879,SUD
Q8026242,GIF
Q3913349,GDB
Q808307,BAD
Q1626991,SBD
Q3888255,BED
Q7987415,WST
Q5330867,ESW
Q3566501,MKK
Q8688,SFO
Q1708272,CHA
Q7314385,FRG
Q649779,HAB
Q875749,MSP
Q1031183,NBC
Q7990721,ARM
Q3015021,NRA
Q17567,SDL
Q651920,MEI
Q7192417,PIR
Q7878301,UKI
Q4732325,AIA
Q6586969,CLM
Q597649,CLT
Q15221313,GAS
Q3275504,SEE
Q3566195,MLE
Q3219935,LSF
Q7568530,SGS
Q4275729,MCD
Q3913849,GNU
Q1962339,CXP
Q7161603,PLN
Q1430745,ALB
Q3566524,MAF
Q127530,MIA
Q130864,SWF
Q3017107,NGS
Q7788167,ALX
Q10853394,LAL
Q4724319,AXA
Q1528300,MYR
Q175028,SYR
Q3886790,BWP
Q5608843,SKY
Q6537129,LOT
Q3886700,MOS
Q6486173,AIG
Q5607374,GNF
Q213717,ORD
Q2876092,MOP
Q5642669,LRD
Q3497401,PSC
Q7933774,BFR
Q2264909,HPY
Q7059931,MSL
Q1962346,CEA
Q4720986,AXN
Q2875759,ABE
Q4705990,ALM
Q1270197,CVX
Q319654,LGA
Q14295,SEA
Q3298050,SLI
Q812921,BAB
Q14692549,CNB
Q4218955,AFE
Q5622848,GUY
Q1528621,MKG
Q7494882,SHR
Q651887,TLR
Q3886228,ASL
Q452290,MLU
Q3029774,AAP
Q493759,IWA
Q3274280,GLE
Q7569353,BRL
Q528578,VNY
Q1655266,HDH
Q576617,BLV
Q3565245,BLV
Q1675277,ITH
Q1431894,AAA
Q6588352,ASJ
Q18604507,DLZ
Q1431348,GYY
Q3274043,JAU
Q1432602,RST
Q1433080,TVC
Q1657067,FIG
Q1444431,TKO
Q3886575,HNM
Q3274027,IWD
Q1471549,OAJ
Q2876108,AST
Q4312432,IKO
Q1528865,MUT
Q3914257,GRD
Q1570890,AMA
Q1578972,ABQ
Q1575175,JRB
Q7420109,MNI
Q4720016,AMT
Q1636887,CEF
Q7989534,CEF
Q1655853,AKO
Q1654308,BKW
Q1654955,BMT
Q1654627,BVI
Q3813597,CMA
Q1654969,COE
Q1655506,COQ
Q1655177,CRO
Q1655525,CTY
Q1655681,DED
Q1656069,DEE
Q1654907,DGL
Q1654971,DHT
Q1655420,DKB
Q1655287,JQF
Q1655815,MIE
Q1655398,MKN
Q1654898,SJX
Q1654486,TNT
Q1654155,UBE
Q1654709,UKL
Q1658451,AEG
Q1656327,BBD
Q1657287,BLI
Q1657258,CAE
Q1657236,CFV
Q1658297,CJX
Q1656893,DGW
Q1658303,DLO
Q1656746,RPB
Q1707663,CHK
Q5096213,CHK
Q1708129,CPK
Q1708371,DCM
Q1708005,DCY
Q1707744,DSV
Q1708338,JHW
Q1708812,DAB
Q7230551,KPC
Q1781135,KOA
Q1836114,CDR
Q1837682,CIK
Q1836163,CNU
Q7430185,SPB
Q1835609,YKN
Q1656133,DYA
Q3085034,BAX
Q1857178,RIC
Q7178368,MPJ
Q3565893,RCT
Q4069478,ARC
Q6693081,RBW
Q1655311,MIC
Q1941464,BFM
Q1961288,CDC
Q1961079,TVK
Q1972210,NTD
Q1148619,STT
Q2060338,HOM
Q2065880,ANB
Q2088517,DVT
Q2087441,VRB
Q7573929,SPA
Q3084957,HLA
Q4368996,PHO
Q2213419,HSV
Q5482369,FOK
Q6588311,TRK
Q7860129,TYR
Q2257760,ALW
Q2268242,MTC
Q4152880,GST
Q7945760,BTL
Q2900549,PTK
Q1654801,ONX
Q3913377,GRE
Q4454235,TER
Q3566217,IER
Q3565088,MDO
Q6728062,MDS
Q3565235,MGC
Q3565466,MIO
Q3564966,MLS
Q3566367,MOD
Q3565435,MWL
Q3564872,MYJ
Q3565405,NRC
Q3565247,NUQ
Q3565201,OXD
Q3565652,PKB
Q10849494,RED
Q3566249,RVL
Q3566237,VTN
Q3565049,WNA
Q1837643,CHO
Q3612524,MRY
Q3813462,3U3
